Subject,Problem,Onset,Answer,Choice,RT,Accurate
310,6,9.891,1,1,4.152,1
310,7,14.754,1,1,6.44,1
310,8,21.9,3,3,2.892,1
310,9,25.497,5,5,7.038,1
310,10,33.242,5,5,10.088,1
310,11,44.036,5,5,2.967,1
310,12,47.717,2,2,8.132,1
310,13,56.561,3,3,6.657,1
310,14,63.923,1,1,9.31,1
310,15,73.95,2,2,7.925,1
310,16,82.577,4,4,16.292,1
310,17,99.583,3,3,6.056,1
310,18,106.345,1,1,11.473,1
310,19,118.521,1,1,11.55,1
310,20,130.78,4,4,8.909,1
310,21,140.39,5,5,10.499,1
310,22,151.6,5,5,7.099,1
310,23,159.411,2,2,20.254,1
310,24,180.381,2,2,20.823,1
310,25,201.917,1,1,21.437,1
310,26,224.07,5,1,20.867,0
310,27,245.639,4,4,23.67,1
310,28,270.023,3,1,22.513,0
310,29,293.242,3,3,44.311,1
310,30,338.263,4,1,39.226,0
310,31,378.204,1,5,56.192,0
310,32,435.1,4,1,32.778,0
310,33,468.595,2,1,29.148,0
310,34,498.46,3,3,30.719,1
310,35,529.889,5,4,35.164,0
311,6,4.3,1,1,2.936,1
311,7,7.95,1,1,2.835,1
311,8,11.5,3,3,3.459,1
311,9,15.666,5,5,4.086,1
311,10,20.466,5,5,4.753,1
311,11,25.932,5,5,3.22,1
311,12,29.865,2,2,4.355,1
311,13,34.931,3,3,7.499,1
311,14,43.148,1,1,2.469,1
311,15,46.331,2,2,4.15,1
311,16,51.197,4,4,4.28,1
311,17,56.196,3,3,5.807,1
311,18,62.713,1,1,3.629,1
311,19,67.062,1,1,13.414,1
311,20,81.178,4,4,7.19,1
311,21,89.077,5,5,14.612,1
311,22,104.41,5,5,9.663,1
311,23,114.775,2,1,13.984,0
311,24,129.474,2,1,10.134,0
311,25,140.323,1,1,11.148,1
311,26,152.189,5,5,25.147,1
311,27,178.037,4,4,31.824,1
311,28,210.585,3,4,7.804,0
311,29,219.101,3,2,17.233,0
311,30,237.049,4,1,17.88,0
311,31,255.648,1,5,22.739,0
311,32,279.096,4,4,20.594,1
311,33,300.411,2,5,20.673,0
311,34,321.793,3,1,26.895,0
311,35,349.391,5,3,29.683,0
312,6,7.087,1,1,3.631,1
312,7,11.42,1,1,4.174,1
312,8,16.303,3,3,5.882,1
312,9,22.902,5,5,5.172,1
312,10,28.785,5,5,8.546,1
312,11,38.034,5,5,6.577,1
312,12,45.334,2,2,21.882,1
312,13,67.932,3,3,7.592,1
312,14,76.231,1,1,8.858,1
312,15,85.797,2,2,6.422,1
312,16,92.93,4,4,8.063,1
312,17,101.696,3,3,9.888,1
312,18,112.295,1,1,7.961,1
312,19,120.978,1,1,10.673,1
312,20,132.36,4,5,12.815,0
312,21,145.893,5,5,9.106,1
312,22,155.709,5,5,8.485,1
312,23,164.908,2,2,12.179,1
312,24,177.79,2,2,12.962,1
312,25,191.456,1,1,9.478,1
312,26,201.638,5,5,16.976,1
312,27,219.337,4,4,16.958,1
312,28,237.019,3,3,20.635,1
312,29,258.368,3,3,17.976,1
312,30,277.049,4,4,31.391,1
312,31,309.147,1,1,8.424,1
312,32,318.28,4,5,33.206,0
312,33,352.194,2,3,47.17,0
312,34,400.073,3,5,53.001,0
312,35,453.786,5,5,20.418,1
313,6,3.347,1,1,3.629,1
313,7,7.678,1,1,2.245,1
313,8,10.626,3,3,3.47,1
313,9,14.807,5,5,3.405,1
313,10,18.921,5,5,3.254,1
313,11,22.885,5,5,3.316,1
313,12,26.916,2,2,2.244,1
313,13,29.864,3,3,5.358,1
313,14,35.926,1,1,4.549,1
313,15,41.19,2,2,3.203,1
313,16,45.104,4,4,4.063,1
313,17,49.884,3,5,3.811,0
313,18,54.398,1,1,5.645,1
313,19,60.76,1,1,10.494,1
313,20,71.97,4,4,6.389,1
313,21,79.065,5,5,5.026,1
313,22,84.795,5,5,4.857,1
313,23,90.358,2,2,9.045,1
313,24,100.119,2,2,4.476,1
313,25,105.298,1,2,5.852,0
313,26,111.861,5,5,13.067,1
313,27,125.635,4,2,37.25,0
313,28,163.594,3,3,34.784,1
313,29,199.088,3,3,21.167,1
313,30,220.957,4,4,65.804,1
313,31,287.464,1,1,69.189,1
313,32,357.369,4,4,15.99,1
313,33,374.075,2,2,53.997,1
313,34,428.79,3,2,20.693,0
313,35,450.193,5,4,49.912,0
314,6,5.377,1,1,2.927,1
314,7,9.008,1,1,3.742,1
314,8,13.455,3,3,3.468,1
314,9,17.636,5,5,4.694,1
314,10,23.032,5,5,3.602,1
314,11,27.346,5,5,4.31,1
314,12,32.36,2,4,3.836,0
314,13,36.907,3,3,6.692,1
314,14,44.302,1,1,4.272,1
314,15,49.282,2,2,3.383,1
314,16,53.379,4,4,4.82,1
314,17,58.909,3,5,4.321,0
314,18,63.939,1,1,4.412,1
314,19,69.053,1,1,6.221,1
314,20,75.981,4,4,19.029,1
314,21,95.719,5,5,6.431,1
314,22,102.864,5,5,9.36,1
314,23,112.941,2,2,6.722,1
