"subject","phase","block","trial","c1","c2","c3","c4","response"
311,1,1,1,0,1,0,1,1
311,1,1,2,-1,1,1,1,1
311,1,1,3,0,0,-1,-1,0
311,1,1,4,0,1,0,1,1
311,1,1,5,0,0,1,0,1
311,1,1,6,0,0,1,0,1
311,1,1,7,0,1,0,-1,0
311,1,1,8,-1,0,-1,1,1
311,1,1,9,-1,1,-1,0,0
311,1,1,10,1,-1,-1,0,1
311,1,1,11,-1,1,0,-1,0
311,1,1,12,0,-1,-1,0,0
311,1,1,13,1,0,1,0,1
311,1,1,14,0,1,0,-1,1
311,1,1,15,0,0,1,-1,1
311,1,1,16,0,-1,-1,1,0
311,1,1,17,-1,0,0,-1,0
311,1,1,18,0,-1,1,0,1
311,1,1,19,1,0,-1,-1,0
311,1,1,20,1,0,0,1,1
311,1,1,21,1,-1,0,-1,0
311,1,1,22,1,1,-1,0,1
311,1,1,23,-1,1,0,-1,0
311,1,1,24,0,-1,-1,1,0
311,1,1,25,0,-1,1,0,0
311,1,1,26,0,0,-1,0,0
311,1,1,27,1,-1,1,-1,0
311,1,1,28,0,0,0,1,1
311,1,1,29,0,-1,1,-1,1
311,1,1,30,0,0,-1,0,0
311,1,1,31,-1,-1,1,-1,1
311,1,1,32,0,0,-1,1,0
311,1,1,33,0,1,0,0,1
311,1,1,34,0,-1,1,-1,0
311,1,1,35,0,0,0,1,0
311,1,1,36,0,1,1,0,1
311,1,1,37,-1,-1,1,0,1
311,1,1,38,0,0,0,-1,0
311,1,1,39,-1,-1,0,1,0
311,1,1,40,1,0,0,-1,1
311,1,1,41,1,0,0,0,1
311,1,1,42,1,1,0,1,1
311,1,1,43,-1,1,0,0,0
311,1,1,44,0,1,-1,0,1
311,1,1,45,0,0,0,-1,0
311,1,1,46,-1,0,1,0,1
311,1,1,47,1,0,-1,0,1
311,1,1,48,0,1,0,-1,1
311,1,1,49,-1,0,-1,0,0
311,1,1,50,-1,0,0,-1,0
311,1,1,51,0,1,1,1,1
311,1,1,52,0,0,1,1,1
311,1,1,53,0,0,1,-1,1
311,1,1,54,-1,-1,-1,1,0
311,1,1,55,-1,0,-1,-1,0
311,1,1,56,0,1,0,0,1
311,1,1,57,0,0,0,1,0
311,1,1,58,-1,0,0,1,0
311,1,1,59,0,1,0,0,1
311,1,1,60,0,-1,0,0,0
311,1,2,1,0,1,0,0,1
311,1,2,2,1,1,-1,-1,1
311,1,2,3,0,-1,-1,0,1
311,1,2,4,-1,1,-1,-1,1
311,1,2,5,-1,1,1,0,0
311,1,2,6,-1,-1,-1,0,1
311,1,2,7,1,0,1,0,1
311,1,2,8,1,1,0,1,1
311,1,2,9,0,0,1,0,1
311,1,2,10,0,1,-1,-1,0
311,1,2,11,1,-1,1,0,0
311,1,2,12,0,0,-1,0,0
311,1,2,13,0,1,0,1,1
311,1,2,14,1,-1,0,-1,1
311,1,2,15,0,1,1,1,1
311,1,2,16,0,1,0,-1,1
311,1,2,17,1,-1,0,0,0
311,1,2,18,-1,1,0,0,0
311,1,2,19,1,0,0,0,0
311,1,2,20,0,0,0,1,1
311,1,2,21,0,1,-1,0,0
311,1,2,22,-1,0,1,1,1
311,1,2,23,-1,0,-1,0,0
311,1,2,24,1,0,0,1,1
311,1,2,25,1,1,0,0,1
311,1,2,26,-1,-1,0,0,0
311,1,2,27,1,0,-1,0,0
311,1,2,28,1,0,1,1,1
311,1,2,29,-1,0,0,0,0
311,1,2,30,0,-1,0,0,0
311,1,2,31,0,0,0,-1,0
311,1,2,32,1,0,-1,1,0
311,1,2,33,-1,0,1,0,0
311,1,2,34,1,0,1,-1,1
311,1,2,35,-1,0,0,0,0
311,1,2,36,1,0,0,0,1
311,1,2,37,-1,-1,0,0,0
311,1,2,38,-1,0,0,1,1
311,1,2,39,-1,0,0,0,0
311,1,2,40,-1,0,1,-1,0
311,1,2,41,0,0,1,0,1
311,1,2,42,0,0,-1,1,0
311,1,2,43,0,1,0,1,1
311,1,2,44,1,0,0,0,1
311,1,2,45,1,0,0,-1,0
311,1,2,46,1,1,0,0,1
311,1,2,47,0,0,-1,0,0
311,1,2,48,0,0,1,1,1
311,1,2,49,1,-1,-1,1,0
311,1,2,50,1,-1,0,0,0
311,1,2,51,1,1,1,0,1
311,1,2,52,0,0,0,-1,1
311,1,2,53,-1,-1,0,1,0
311,1,2,54,-1,0,0,0,0
311,1,2,55,0,1,-1,-1,0
311,1,2,56,0,-1,0,0,0
311,1,2,57,0,1,1,0,1
311,1,2,58,0,-1,0,0,0
311,1,2,59,0,0,-1,-1,0
311,1,2,60,1,1,1,1,1
311,1,3,1,1,0,0,0,1
311,1,3,2,1,1,0,-1,0
311,1,3,3,-1,0,-1,1,0
311,1,3,4,-1,-1,-1,-1,0
311,1,3,5,-1,0,-1,0,0
311,1,3,6,1,-1,1,0,1
311,1,3,7,-1,-1,1,0,0
311,1,3,8,1,0,1,-1,1
311,1,3,9,0,-1,-1,-1,0
311,1,3,10,0,0,1,1,1
311,1,3,11,1,0,0,0,1
311,1,3,12,-1,1,0,0,1
311,1,3,13,-1,-1,0,-1,0
311,1,3,14,0,1,1,-1,0
311,1,3,15,1,1,0,0,1
311,1,3,16,-1,0,1,0,1
311,1,3,17,1,-1,0,0,1
311,1,3,18,-1,-1,1,1,1
311,1,3,19,1,0,-1,0,0
311,1,3,20,-1,-1,0,0,0
311,1,3,21,0,-1,0,0,0
311,1,3,22,0,1,1,-1,0
311,1,3,23,-1,-1,0,0,0
311,1,3,24,-1,0,0,0,0
311,1,3,25,0,-1,0,-1,0
311,1,3,26,0,-1,0,1,0
311,1,3,27,0,1,0,0,1
311,1,3,28,0,0,0,-1,0
311,1,3,29,0,1,-1,1,1
311,1,3,30,1,-1,1,1,0
311,1,3,31,0,-1,0,-1,0
311,1,3,32,0,0,1,1,1
311,1,3,33,0,-1,1,0,0
311,1,3,34,1,0,0,1,0
311,1,3,35,-1,-1,0,-1,0
311,1,3,36,0,0,1,0,1
311,1,3,37,0,1,-1,0,0
311,1,3,38,0,-1,1,1,0
311,1,3,39,1,1,0,0,1
311,1,3,40,1,-1,-1,-1,0
311,1,3,41,0,0,-1,0,0
311,1,3,42,1,0,0,-1,0
311,1,3,43,-1,-1,-1,0,0
311,1,3,44,-1,1,1,-1,1
311,1,3,45,-1,1,0,1,1
311,1,3,46,0,0,0,-1,0
311,1,3,47,1,-1,0,1,1
311,1,3,48,-1,0,1,0,0
311,1,3,49,1,1,1,-1,1
311,1,3,50,-1,0,0,-1,0
311,1,3,51,0,-1,0,-1,0
311,1,3,52,-1,1,-1,0,1
311,1,3,53,-1,0,0,0,0
311,1,3,54,1,0,-1,1,0
311,1,3,55,1,-1,0,0,1
311,1,3,56,0,1,-1,1,1
311,1,3,57,-1,0,0,1,1
311,1,3,58,1,0,0,1,1
311,1,3,59,0,0,1,-1,0
311,1,3,60,0,0,1,0,1
311,1,4,1,0,1,0,0,0
