Var1,Var2,Var3
311,16,2
313,18,18
314,3,10
317,17,17
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,3,21
325,6,1
326,18,21
327,1,4
328,13,7
329,3,1
330,17,17
331,17,17
332,1,21
333,1,21
335,16,18
336,15,15
337,2,21
339,18,2
343,3,17
344,3,1
345,10,15
347,15,7
349,17,17
350,2,18
352,18,1
354,6,1
355,7,2
356,2,18
357,18,4
358,16,16
359,16,2
363,17,17
366,18,2
367,18,18
368,1,1
369,7,4
372,21,21
373,15,4
374,15,17
375,16,1
377,12,2
379,2,16
380,18,18
381,1,1
382,1,17
383,4,4
520,8,9
522,1,1
523,16,3
526,1,1
531,17,17
533,18,2
534,15,18
535,1,4
536,15,16
537,16,16
538,18,1
539,17,17
541,21,21
542,15,16
546,1,1
548,18,18
549,15,17
550,2,2
551,6,16
553,19,1
555,1,1
556,1,1
557,15,18
558,2,18
559,9,4
562,21,1
563,18,21
564,1,18
565,1,1
566,17,1
568,2,2
569,18,17
570,2,3
571,7,4
572,1,1
573,16,17
574,3,17
575,17,17
576,3,3
577,3,17
578,2,1
579,9,16
580,2,6
584,18,1
585,17,3
586,1,1
587,2,18
588,16,2
589,7,7
594,16,4
595,20,19
597,21,18
